#-----------------------------------------------------------
# xsim v2024.2 (64-bit)
# SW Build 5239630 on Fri Nov 08 22:34:34 MST 2024
# IP Build 5239520 on Sun Nov 10 16:12:51 MST 2024
# SharedData Build 5239561 on Fri Nov 08 14:39:27 MST 2024
# Start of session at: Mon Oct  6 04:40:00 2025
# Process ID         : 163819
# Current directory  : /home/arthur/Documents/FPGA_master_class/project_and_non_project_mode/fifo1
# Command line       : xsim -mode tcl -source {xsim.dir/work.fifo_tb/xsim_script.tcl}
# Log file           : /home/arthur/Documents/FPGA_master_class/project_and_non_project_mode/fifo1/xsim.log
# Journal file       : /home/arthur/Documents/FPGA_master_class/project_and_non_project_mode/fifo1/xsim.jou
# Running On         : arthur-nathaniel
# Platform           : Ubuntu
# Operating System   : Ubuntu 24.04.3 LTS
# Processor Detail   : 13th Gen Intel(R) Core(TM) i3-1315U
# CPU Frequency      : 1508.207 MHz
# CPU Physical cores : 6
# CPU Logical cores  : 8
# Host memory        : 8038 MB
# Swap memory        : 4294 MB
# Total Virtual      : 12333 MB
# Available Virtual  : 5141 MB
#-----------------------------------------------------------
source xsim.dir/work.fifo_tb/xsim_script.tcl
# xsim {work.fifo_tb} -autoloadwcfg -runall
Time resolution is 1 ps
open_wave_config /home/arthur/Documents/FPGA_master_class/project_and_non_project_mode/fifo1/work.fifo_tb.wcfg
run -all
[0]   wr_en = 0, rd_en = 0, data_in =   x, data_out =   x, full = x, empty = x
[5000]   wr_en = 0, rd_en = 0, data_in =   x, data_out =   x, full = 0, empty = 1
[20000]   wr_en = 1, rd_en = 1, data_in =  22, data_out =   x, full = 0, empty = 1
[25000]   wr_en = 1, rd_en = 1, data_in =  22, data_out =   x, full = 0, empty = 0
[30000]   wr_en = 1, rd_en = 1, data_in =  23, data_out =   x, full = 0, empty = 0
[35000]   wr_en = 1, rd_en = 1, data_in =  23, data_out =  22, full = 0, empty = 0
[40000]   wr_en = 1, rd_en = 1, data_in =  24, data_out =  22, full = 0, empty = 0
[45000]   wr_en = 1, rd_en = 1, data_in =  24, data_out =  23, full = 0, empty = 0
[50000]   wr_en = 1, rd_en = 1, data_in =  25, data_out =  23, full = 0, empty = 0
[55000]   wr_en = 1, rd_en = 1, data_in =  25, data_out =  24, full = 0, empty = 0
[60000]   wr_en = 1, rd_en = 1, data_in =  26, data_out =  24, full = 0, empty = 0
[65000]   wr_en = 1, rd_en = 1, data_in =  26, data_out =  25, full = 0, empty = 0
[70000]   wr_en = 1, rd_en = 1, data_in =  27, data_out =  25, full = 0, empty = 0
[75000]   wr_en = 1, rd_en = 1, data_in =  27, data_out =  26, full = 0, empty = 0
[80000]   wr_en = 1, rd_en = 1, data_in =  28, data_out =  26, full = 0, empty = 0
[85000]   wr_en = 1, rd_en = 1, data_in =  28, data_out =  27, full = 0, empty = 0
